Page score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Frame,Form,First seen,Last seen
1,SameOwner.com - List of other sites by the owner of cheap-tickets-flights.com,http://www.sameowner.com/cat/cat.html/00904762/cheap-tickets-flights.com,http://cheap-tickets-flights.com/,cheap-tickets-flights.com,5,12,TRUE,FALSE,FALSE,4/16/2018,4/16/2018
1,List of cities in Argentina - Factbites,http://www.factbites.com/topics/List-of-cities-in-Argentina,http://www.cheap-tickets-flights.com/air/cheap-flights_argentina_0.html,Cheap Flights to Argentina - list of Argentina cities :: Page-1,7,35,FALSE,FALSE,FALSE,4/14/2016,6/10/2018
1,List of cities in Brazil - Factbites,http://www.factbites.com/topics/List-of-cities-in-Brazil,http://www.cheap-tickets-flights.com/air/cheap-flights_brazil_0.html,Cheap Flights to Brazil - list of Brazil cities :: Page-1,24,42,FALSE,FALSE,FALSE,4/14/2016,6/7/2018
1,List of cities in the Dominican Republic - Factbites,http://www.factbites.com/topics/List-of-cities-in-the-Dominican-Republic,http://www.cheap-tickets-flights.com/air/cheap-flights_dominican-republic_0.html,Cheap Flights to Dominican Republic - list of Dominican Republic cities,6,32,FALSE,FALSE,FALSE,4/14/2016,7/5/2018
1,"Big Flats (town), New York - Factbites","http://www.factbites.com/topics/Big-Flats-(town),-New-York",http://www.cheap-tickets-flights.com/,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",25,41,FALSE,FALSE,FALSE,2/7/2015,6/4/2018
1,List of cities in Indonesia - Factbites,http://www.factbites.com/topics/List-of-cities-in-Indonesia,http://www.cheap-tickets-flights.com/air/cheap-flights_indonesia_0.html,Cheap Flights to Indonesia - list of Indonesia cities :: Page-1,25,58,FALSE,FALSE,FALSE,8/8/2016,6/8/2018
1,List of cities in Ireland - Factbites,http://www.factbites.com/topics/List-of-cities-in-ireland,http://www.cheap-tickets-flights.com/air/cheap-flights_ireland_0.html,Cheap Flights to Ireland - list of Ireland cities,7,44,FALSE,FALSE,FALSE,5/31/2017,7/4/2018
1,List of cities in Ireland - Factbites,http://www.factbites.com/topics/List-of-cities-in-Ireland,http://www.cheap-tickets-flights.com/air/cheap-flights_ireland_0.html,Cheap Flights to Ireland - list of Ireland cities,7,39,FALSE,FALSE,FALSE,6/2/2016,7/3/2018
1,Addis Ababa - Factbites,http://www.factbites.com/topics/Addis-Ababa,http://www.cheap-tickets-flights.com/addis-ababa.html,"Discount Flight to Addis Ababa, Find Addis Ababa Tickets",29,51,FALSE,FALSE,FALSE,4/13/2016,5/26/2018
1,Aboisso - Factbites,http://www.factbites.com/topics/Aboisso,http://www.cheap-tickets-flights.com/cheap-flights_aboisso.html,Cheap Flights to Aboisso,27,15,FALSE,FALSE,FALSE,6/2/2018,6/2/2018
